subject_id	subject_label	subject_class	predicate_id	object_id	object_label	object_json_path	transform	mapping_justification	comment			
it6:limitations	limitations	dcat:Dataset	skos:closeMatch	schema:description	limitations	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:dataProvenance	dataProvenance	dcat:Dataset	skos:closeMatch	prov:used	dataProvenance	$.prov:wasGeneratedBy.prov:used	text	semapv:ManualMappingCuration	mldcat-ap extension.			
cnt:characterEncoding	characterEncoding	dcat:Distribution	skos:closeMatch				passthrough	semapv:ManualMappingCuration	distribution property			
dcterms:date	date	dcat:Dataset	skos:closeMatch	schema:temporalCoverage	collectionDate	$.schema:temporalCoverage	period	semapv:ManualMappingCuration	Ambiguous; issued/modified are the dates CDIF asks for.			
dcterms:version	version	dcat:Dataset	skos:closeMatch	schema:version	version	$.schema:version	text	semapv:ManualMappingCuration	Not a DCMI term; coined by publishers. Used when dcat:version is absent.			
dqv:value	value	dqv:QualityMeasurement	skos:exactMatch				passthrough	semapv:ManualMappingCuration	Carried inside dqv:hasQualityMeasurement.			
prov:value	value	prov:Attribution	skos:closeMatch				attribution-part	semapv:ManualMappingCuration	Consumed by the attribution transform.			
spdx:licenseText	licenseText	dcat:Distribution	skos:closeMatch	schema:license	spdxLicenseText	$.schema:license	text	semapv:ManualMappingCuration				
schema:image	image	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	schema:image is not a CDIF target.			
schema:caption	caption	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration				
it6:classification	classification	dcat:Dataset	skos:closeMatch	schema:keywords	classification	$.schema:keywords	concept	semapv:ManualMappingCuration	Becomes a DefinedTerm of its own among the keywords.			
it6:defaultTargetAttribute	defaultTargetAttribute	dcat:Dataset	skos:closeMatch	schema:description	defaultTargetAttribute	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:hasBibliographicReference	hasBibliographicReference	dcat:Dataset	skos:closeMatch	dcterms:bibliographicCitation	hasBibliographicReference	$.dcterms:bibliographicCitation	text	semapv:ManualMappingCuration	mldcat-ap extension.			
it6:hasFeature	hasFeature	dcat:Dataset	skos:closeMatch	schema:description	hasFeature	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:hasInputModality	hasInputModality	dcat:Dataset	skos:closeMatch	schema:description	hasInputModality	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:hasOutputModality	hasOutputModality	dcat:Dataset	skos:closeMatch	schema:description	hasOutputModality	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:hasProvider	hasProvider	dcat:Dataset	skos:closeMatch	schema:provider	provider	$.schema:provider	agent	semapv:ManualMappingCuration	mldcat-ap extension.			
it6:hasRepository	hasRepository	dcat:Dataset	skos:closeMatch	schema:includedInDataCatalog	hasRepository	$.schema:includedInDataCatalog	iri	semapv:ManualMappingCuration	mldcat-ap extension.			
it6:hasUploader	hasUploader	dcat:Dataset	skos:closeMatch	schema:contributor	uploader	$.schema:contributor	agent	semapv:ManualMappingCuration	contributor[role='uploader'] 			
it6:methodOfDistribution	methodOfDistribution	dcat:Dataset	skos:closeMatch	schema:description	methodOfDistribution	$.schema:description	describe	semapv:ManualMappingCuration	mldcat-ap extension.			
it6:modelArchitecture	modelArchitecture	dcat:Dataset	skos:closeMatch	schema:description	modelArchitecture	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:placedOnMarketDate	placedOnMarketDate	dcat:Dataset	skos:closeMatch	schema:description	placedOnMarketDate	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:processingDate	processingDate	dcat:Dataset	skos:closeMatch	schema:description	processingDate	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:releaseDate	releaseDate	dcat:Dataset	skos:closeMatch	schema:datePublished	releaseDate	$.schema:datePublished	date	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:size	size	dcat:Dataset	skos:closeMatch	schema:contentSize	size	$.schema:distribution[*].schema:contentSize	bytes	semapv:ManualMappingCuration	mldcat-ap extension.			
it6:totalNumberOfParameters	totalNumberOfParameters	dcat:Dataset	skos:closeMatch	schema:description	totalNumberOfParameters	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
it6:versionLabel	versionLabel	dcat:Dataset	skos:closeMatch	schema:version	versionLabel	$.schema:version	text	semapv:ManualMappingCuration	if there is already a version value	 concatenate this 		
it6:visibility	visibility	dcat:Dataset	skos:closeMatch	schema:description	visibility	$.schema:description	describe	semapv:ManualMappingCuration	concatenate on Dataset.schema:description	 with object_label as prefix		
dcatap:availability	availability	dcat:Distribution	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
dcatde:politicalGeocoding	politicalGeocoding	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
dcat-us:program	program	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
dcat:granularity	granularity	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
adms:representationTechnique	representationTechnique	dcat:Distribution	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
foaf:isPrimaryTopicOf	isPrimaryTopicOf	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
foaf:workplaceHomepage	workplaceHomepage	foaf:Agent	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DCAT/DCAT-AP/US property; no CDIF target yet - for review.			
dcterms:alternative	alternative	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Dublin Core term seen in the corpus; unmapped - for review.			
dcterms:source	source	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Dublin Core term seen in the corpus; unmapped - for review.			
dcterms:subject	subject	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Dublin Core term seen in the corpus; unmapped - for review.			
dcterms:valid	valid	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Dublin Core term seen in the corpus; unmapped - for review.			
dcterms:start	start	dcterms:PeriodOfTime	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Dublin Core term seen in the corpus; unmapped - for review.			
dcterms:end	end	dcterms:PeriodOfTime	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Dublin Core term seen in the corpus; unmapped - for review.			
vcard:street-address	street-address	vcard:Address	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:locality	locality	vcard:Address	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:postal-code	postal-code	vcard:Address	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:country-name	country-name	vcard:Address	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:region	region	vcard:Address	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:hasAddress	hasAddress	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:hasUID	hasUID	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:hasOrganizationName	hasOrganizationName	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:organisationName	organisationName	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:organisationUnit	organisationUnit	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:organization-name	organization-name	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
vcard:organization-unit	organization-unit	vcard:Kind	skos:closeMatch				passthrough	semapv:ManualMappingCuration	vCard contact detail; candidate schema:ContactPoint/PostalAddress - for review.			
locn:address	address	foaf:Agent	skos:closeMatch				passthrough	semapv:ManualMappingCuration	locn address detail; candidate schema:PostalAddress - for review.			
locn:adminUnitL1	adminUnitL1	locn:Address	skos:closeMatch				passthrough	semapv:ManualMappingCuration	locn address detail; candidate schema:PostalAddress - for review.			
locn:adminUnitL2	adminUnitL2	dcterms:Location	skos:closeMatch				passthrough	semapv:ManualMappingCuration	locn address detail; candidate schema:PostalAddress - for review.			
prov:startedAtTime	startedAtTime	prov:Activity	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:endedAtTime	endedAtTime	prov:Activity	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:wasAssociatedWith	wasAssociatedWith	prov:Activity	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:actedOnBehalfOf	actedOnBehalfOf	prov:Agent	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:generated	generated	prov:Activity	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:hadPlan	hadPlan	prov:Association	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:qualifiedAssociation	qualifiedAssociation	prov:Activity	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:wasDerivedFrom	wasDerivedFrom	prov:Entity	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
prov:wasUsedBy	wasUsedBy	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	PROV-O provenance term; maps under prov:wasGeneratedBy activity - for review.			
healthdcat:analytics	analytics	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:hasCodeValues	hasCodeValues	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:hasCodingSystem	hasCodingSystem	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:hdab	hdab	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:healthCategory	healthCategory	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:healthTheme	healthTheme	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:maxTypicalAge	maxTypicalAge	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:minTypicalAge	minTypicalAge	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:numberOfRecords	numberOfRecords	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:numberOfUniqueIndividuals	numberOfUniqueIndividuals	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:populationCoverage	populationCoverage	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:publisherNote	publisherNote	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:publisherType	publisherType	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:retentionPeriod	retentionPeriod	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
healthdcat:trustedDataHolder	trustedDataHolder	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	HealthDCAT-AP extension; no CDIF target - for review.			
csvw:column	column	csvw:Table	skos:closeMatch				passthrough	semapv:ManualMappingCuration	CSVW data-dictionary (HealthDCAT-AP); maps to CDIF variable/structure - for review.			
csvw:datatype	datatype	csvw:Column	skos:closeMatch				passthrough	semapv:ManualMappingCuration	CSVW data-dictionary (HealthDCAT-AP); maps to CDIF variable/structure - for review.			
csvw:describes	describes	csvw:Column	skos:closeMatch				passthrough	semapv:ManualMappingCuration	CSVW data-dictionary (HealthDCAT-AP); maps to CDIF variable/structure - for review.			
csvw:name	name	csvw:Column	skos:closeMatch				passthrough	semapv:ManualMappingCuration	CSVW data-dictionary (HealthDCAT-AP); maps to CDIF variable/structure - for review.			
odrl:permission	permission	odrl:Policy	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRL policy (HealthDCAT-AP); no flat CDIF target - for review.			
odrl:prohibition	prohibition	odrl:Policy	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRL policy (HealthDCAT-AP); no flat CDIF target - for review.			
odrl:obligation	obligation	odrl:Policy	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRL policy (HealthDCAT-AP); no flat CDIF target - for review.			
odrl:action	action	odrl:Rule	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRL policy (HealthDCAT-AP); no flat CDIF target - for review.			
odrs:attributionText	attributionText	odrs:RightsStatement	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRS rights statement (National); candidate schema:license/creditText - for review.			
odrs:attributionURL	attributionURL	odrs:RightsStatement	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRS rights statement (National); candidate schema:license/creditText - for review.			
odrs:dataLicense	dataLicense	odrs:RightsStatement	skos:closeMatch				passthrough	semapv:ManualMappingCuration	ODRS rights statement (National); candidate schema:license/creditText - for review.			
dpv:hasLegalBasis	hasLegalBasis	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DPV data-privacy (HealthDCAT-AP); no CDIF target - for review.			
dpv:hasPersonalData	hasPersonalData	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DPV data-privacy (HealthDCAT-AP); no CDIF target - for review.			
dpv:hasPurpose	hasPurpose	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DPV data-privacy (HealthDCAT-AP); no CDIF target - for review.			
mdcat:mobilityTheme	mobilityTheme	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	MobilityDCAT-AP extension; no CDIF target - for review.			
mdcat:mobilityDataStandard	mobilityDataStandard	dcat:Distribution	skos:closeMatch				passthrough	semapv:ManualMappingCuration	MobilityDCAT-AP extension; no CDIF target - for review.			
mdcat:networkCoverage	networkCoverage	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	MobilityDCAT-AP extension; no CDIF target - for review.			
dqv:hasQualityAnnotation	hasQualityAnnotation	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DQV quality term; maps under dqv quality structures - for review.			
dqv:inDimension	inDimension	dqv:Metric	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DQV quality term; maps under dqv quality structures - for review.			
dqv:isMeasurementOf	isMeasurementOf	dqv:QualityMeasurement	skos:closeMatch				passthrough	semapv:ManualMappingCuration	DQV quality term; maps under dqv quality structures - for review.			
oa:hasBody	hasBody	oa:Annotation	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Web Annotation (HealthDCAT-AP quality certificate); part of dqv annotation - for review.			
oa:hasTarget	hasTarget	oa:Annotation	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Web Annotation (HealthDCAT-AP quality certificate); part of dqv annotation - for review.			
oa:motivatedBy	motivatedBy	oa:Annotation	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Web Annotation (HealthDCAT-AP quality certificate); part of dqv annotation - for review.			
time:hasBeginning	hasBeginning	time:Interval	skos:closeMatch				passthrough	semapv:ManualMappingCuration	OWL-Time interval detail on a period; candidate dcat:startDate/endDate - for review.			
time:hasEnd	hasEnd	time:Interval	skos:closeMatch				passthrough	semapv:ManualMappingCuration	OWL-Time interval detail on a period; candidate dcat:startDate/endDate - for review.			
time:inXSDDateTime	inXSDDateTime	time:Instant	skos:closeMatch				passthrough	semapv:ManualMappingCuration	OWL-Time interval detail on a period; candidate dcat:startDate/endDate - for review.			
time:years	years	time:DurationDescription	skos:closeMatch				passthrough	semapv:ManualMappingCuration	OWL-Time interval detail on a period; candidate dcat:startDate/endDate - for review.			
skos:hasTopConcept	hasTopConcept	skos:ConceptScheme	skos:closeMatch				passthrough	semapv:ManualMappingCuration	SKOS concept-scheme structure; unmapped - for review.			
